11562,0,0,0,1,0,0,,,,,137084,48
1827,0,1,0,1,1,0,4,0,4,0,2677,12
8124,0,0,0,1,0,0,0,4,0,0,19340,49
4847,1,1,0,1,1,1,2,0,2,0,6976,9
1604,0,1,0,1,0,0,2,0,0,0,21811,12
8012,0,0,0,1,1,0,0,4,0,18,29164,49
7822,1,0,1,0,1,0,0,0,8,0,6060,46
7487,0,0,0,0,0,0,,,,,23954,
11567,0,0,0,0,0,0,2,4,,,6316,24
9154,0,0,0,0,0,1,,2,,,18407,65
7269,0,0,0,0,0,0,,,,,60042,
543,0,1,0,1,0,0,2,0,0,0,22947,12
1774,0,1,0,1,0,1,2,0,0,0,5085,5
721,0,0,1,0,1,0,0,0,4,0,42811,38
7844,0,0,0,1,0,0,0,0,0,0,9593,12
11440,0,0,0,0,0,1,,4,,,3673,8
11434,0,0,0,0,0,1,,2,,,24266,21
